"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct","age"
"3015",1,1,54.54545455,22,12221,5498,116,0.872340426,1,1,90.90909091,564343,5,1,1,24.8793950312396
"3016",2,1,44,25,10167,891,158,0.659574468,1,2,90.90909091,1059156,6,1,1,24.8793950312396
"3017",3,0,28.57142857,21,10374,8576,42,0.425531915,2,3,81.81818182,43949,8,1,0,24.8793950312396
"3018",1,1,61.11111111,18,11307,682,58,0.404255319,2,1,81.81818182,2261861,4,1,1,24.8793950312396
"3019",11,1,9.523809524,21,15806,NA,0,0,2,11,0,27970,10,0,0,24.8328505484035
"3020",5,1,28.57142857,21,12203,146,243,0.914893617,1,5,90.90909091,8367103,8,1,1,24.8793950312396
"3021",5,0,6.896551724,29,17944,4868,2,0.021276596,1,5,90.90909091,37259,10,1,0,24.8328505484035
"3022",3,1,39.39393939,33,9907,321,149,0.787234043,1,3,90.90909091,4265943,7,1,1,24.8793950312396
"3023",4,0,33.33333333,18,10425,10,405,0.978723404,1,4,90.90909091,21380116,7,1,0,24.8793950312396
"3024",1,1,23.80952381,21,11140,1226,135,0.617021277,1,1,90.90909091,356366,8,1,1,24.8328505484035
"3025",11,0,37.5,24,15837,NA,31,0.234042553,2,11,0,115673,7,0,1,24.8793950312396
"3026",2,1,57.69230769,26,10676,8279,74,0.340425532,2,2,81.81818182,326504,5,1,1,24.8793950312396
"3027",4,0,19.04761905,21,9690,2694,86,0.638297872,2,4,81.81818182,474080,9,1,0,24.8793950312396
"3028",7,1,45.45454545,22,12193,221,304,0.936170213,1,7,90.90909091,5970382,6,1,1,24.8793950312396
"3029",3,1,69.56521739,23,13045,283,75,0.276595745,2,3,81.81818182,1117308,4,1,1,24.8793950312396
"3030",1,1,73.33333333,30,9538,192,200,0.957446809,1,1,90.90909091,6795349,3,1,1,24.8793950312396
"3031",5,0,23.52941176,17,12531,3088,84,0.489361702,2,5,81.81818182,60128,8,1,0,24.8328505484035
"3032",2,1,33.33333333,27,10836,811,236,0.808510638,1,2,90.90909091,1936423,7,1,1,24.8328505484035
"3033",6,0,14.28571429,21,9544,80,155,0.893617021,1,6,90.90909091,6194922,9,1,0,24.8793950312396
"3034",2,1,20,25,10007,4244,44,0.510638298,2,2,81.81818182,234455,8,1,1,24.8793950312396
"3035",5,0,33.33333333,21,12284,5080,105,0.744680851,1,5,90.90909091,1689055,7,1,0,24.8793950312396
"3036",1,0,71.42857143,28,10838,573,122,0.872340426,1,1,90.90909091,2366626,3,1,0,24.8328505484035
"3037",1,1,75.75757576,33,10778,707,877,0.765957447,1,1,90.90909091,1561181,3,1,1,24.8793950312396
"3038",1,1,50,30,10529,2603,107,0.468085106,2,1,81.81818182,454475,5,1,1,24.8793950312396
"3039",2,1,58.06451613,31,9577,212,127,0.425531915,2,2,81.81818182,5335196,5,1,1,24.8328505484035
"3040",2,1,70.83333333,24,9616,473,60,0.595744681,2,2,81.81818182,2449024,3,1,1,24.8793950312396
"3041",6,0,35,20,10780,6405,84,0.638297872,2,6,81.81818182,1635349,7,1,0,24.8328505484035
"3042",4,1,63.63636364,22,16163,259,2,0.042553191,2,4,81.81818182,37796,4,1,1,24.8793950312396
"3043",1,1,36.84210526,19,9513,12,8273,1,1,1,90.90909091,123808427,7,1,1,24.8793950312396
